,time,speed,wind,x,y,
137,68.5,0.104168307186,0.0,242.643360082,99.4042201626,
138,69.0,0.104182105384,0.0,242.699688483,99.4022863613,
139,69.5,0.10581387803,0.0,242.750359968,99.4009374192,
140,70.0,0.106701641342,0.0,242.805672575,99.3983297949,
141,70.5,0.10638968226,0.0,242.859070057,99.396067253,
142,71.0,0.10666632475,0.0,242.910163069,99.3940306902,
143,71.5,0.106448622036,0.0,242.963359749,99.391835976,
144,72.0,0.106258257785,0.0,243.016396504,99.3893520795,
145,72.5,0.107334171353,0.0,243.071862312,99.3865458326,
146,73.0,0.107614241274,0.0,243.121216619,99.3842633073,
147,73.5,0.106388539356,0.0,243.176865192,99.3819789876,
148,74.0,0.105640898873,0.0,243.229886014,99.3795524786,
149,74.5,0.105997155841,0.0,243.284946935,99.3765020691,
150,75.0,0.107232543295,0.0,243.334094729,99.3738211326,
151,75.5,0.108116088598,0.0,243.392290343,99.3718523118,
152,76.0,0.107773618015,0.0,243.444025235,99.3693464027,
153,76.5,0.107417670083,0.0,243.500042217,99.3661046215,
154,77.0,0.108593733349,0.0,243.553980183,99.3626062044,
155,77.5,0.109195072347,0.0,243.603881808,99.3598288306,
156,78.0,0.108622188867,0.0,243.660334472,99.3571849882,
157,78.5,0.108048964576,0.0,243.714413139,99.3542303482,
158,79.0,0.108002618275,0.0,243.770606245,99.3504800237,
159,79.5,0.108286454503,0.0,243.820498491,99.3472141963,
160,80.0,0.10857573449,0.0,243.876842303,99.3440633524,
161,80.5,0.108622227909,0.0,243.931028347,99.3411954581,
162,81.0,0.108516476548,0.0,243.987356104,99.337854714,
163,81.5,0.108355516085,0.0,244.037097035,99.3346230096,
164,82.0,0.107792571897,0.0,244.093291052,99.3308455835,
165,82.5,0.108991087771,0.0,244.147688597,99.3279070446,
166,83.0,0.110278937771,0.0,244.204723201,99.3242514899,
167,83.5,0.109930275231,0.0,244.259692255,99.3210813137,
168,84.0,0.10953937219,0.0,244.310047754,99.3176101031,
169,84.5,0.110126975388,0.0,244.367073701,99.3129459506,
170,85.0,0.110029619957,0.0,244.422174486,99.3085984997,
171,85.5,0.111018801441,0.0,244.479419598,99.3053979561,
172,86.0,0.110059751017,0.0,244.5297813,99.3026935838,
173,86.5,0.109936699137,0.0,244.588988313,99.2980522298,
174,87.0,0.111185684136,0.0,244.642054852,99.2930212663,
175,87.5,0.10979964755,0.0,244.699370808,99.2887412769,
176,88.0,0.109373510704,0.0,244.749624328,99.2860070409,
177,88.5,0.110710440446,0.0,244.808804714,99.2823796623,
178,89.0,0.110012817207,0.0,244.861685933,99.2779170657,
179,89.5,0.109772644846,0.0,244.918811056,99.2727524259,
180,90.0,0.110384641119,0.0,244.969329716,99.2688808868,
181,90.5,0.110690157443,0.0,245.026811051,99.2656165164,
182,91.0,0.111231165985,0.0,245.082367563,99.2614589489,
183,91.5,0.111323927669,0.0,245.137919058,99.25686831,
184,92.0,0.110705462162,0.0,245.193334505,99.2517671592,
185,92.5,0.112922282169,0.0,245.251496023,99.2465568003,
186,93.0,0.113332160984,0.0,245.303134593,99.242460583,
187,93.5,0.112182547842,0.0,245.361127637,99.2382569662,
188,94.0,0.11143559916,0.0,245.416424321,99.2337271275,
189,94.5,0.111928332252,0.0,245.474209648,99.228090956,
190,95.0,0.112253714567,0.0,245.525806947,99.2230097866,
191,95.5,0.111807247877,0.0,245.584156572,99.2182398174,
192,96.0,0.11084940823,0.0,245.63972859,99.2142317249,
193,96.5,0.111234529811,0.0,245.690700742,99.2099032937,
194,97.0,0.112178013664,0.0,245.748729562,99.204040654,
195,97.5,0.113125873656,0.0,245.805116616,99.1988423174,
196,98.0,0.113158334071,0.0,245.863538838,99.193536121,
197,98.5,0.113291460694,0.0,245.919700799,99.1888984134,
198,99.0,0.113790001732,0.0,245.978414775,99.1834346473,
199,99.5,0.113538940092,0.0,246.030502074,99.177945918,
200,100.0,0.113259684485,0.0,246.089316188,99.1716641015,
201,100.5,0.113894921838,0.0,246.14584901,99.1661011383,
202,101.0,0.113727900268,0.0,246.204698967,99.1607353266,
203,101.5,0.112907922226,0.0,246.25663112,99.1559504821,
204,102.0,0.112801039582,0.0,246.31539414,99.1498052088,
205,102.5,0.113620108754,0.0,246.372211978,99.1434492736,
206,103.0,0.113904251921,0.0,246.426668106,99.1377001891,
207,103.5,0.113989259891,0.0,246.483255306,99.1324583422,
208,104.0,0.112788870925,0.0,246.539459903,99.1271167841,
209,104.5,0.112557431805,0.0,246.597828709,99.120715278,
210,105.0,0.113758164944,0.0,246.649927572,99.1146251311,
211,105.5,0.114672244043,0.0,246.711505251,99.1084292685,
